reuse_factor,analytic_sir_db,baseline_hex_edge_sir_db,median_user_sir_db,p05_user_sir_db,median_user_sinr_db,p05_user_sinr_db,mean_signal_power_dbm,mean_interference_power_dbm,noise_power_dbm
1,1.283791335837149,-3.4107260177627783,14.251272963074928,-6.433360757649399,12.81810239633038,-7.316815375168406,-73.09306976288573,-87.65797355581925,-93.98970004336019
3,10.349095175510733,8.482416831448292,24.989919893751118,4.778312360826846,18.48629839877111,0.2556976358627001,-73.20364634944598,-98.27070642524917,-93.98970004336019
4,12.722931171068435,11.407665914180534,27.316506680904205,6.071200167908973,19.015326090079704,0.7572294857763768,-73.17078528419508,-100.73628607154885,-93.98970004336019
7,17.34065409610803,16.58080047653344,32.210998274683604,11.856308131392561,20.033957594779423,1.7475183642091117,-73.1224717146814,-105.5374147153945,-93.98970004336019
12,21.78823501074202,21.347966272355357,36.59258584319754,15.614858704760762,20.18291455605148,1.466604985405617,-73.32126450739692,-110.19298686572994,-93.98970004336019
