reuse_factor,channel_share,mean_user_rate_bphz,effective_rate_bphz,effective_ase_bphz_per_cell,effective_ase_bphz_per_km2
1,1.0,4.819029439476991,2.170998915357925,2.170998915357925,3.342471488512756
3,0.3333333333333333,8.199306479722862,4.068166372331381,1.3560554574437935,2.087783955709961
4,0.25,9.027667562628725,4.547388113730558,1.1368470284326395,1.750290501048028
7,0.14285714285714285,10.719869495204929,5.480478424118467,0.782925489159781,1.2053926451248507
12,0.08333333333333333,12.171877473594002,6.260179431298697,0.5216816192748914,0.8031813955190358
