height_m,median_sir_db,p05_sir_db,coverage_probability_at_10db,mean_user_rate_bphz,effective_rate_bphz,effective_ase_bphz_per_cell,effective_ase_bphz_per_km2,mean_serving_los_probability,mean_interferer_los_probability,mean_serving_antenna_gain_db,mean_interferer_antenna_gain_db
0.0,28.387796288092517,-10.416376520826756,0.829,10.299169464892945,5.2238157062904005,0.7462593866129144,1.1489414873233363,0.10508087292745465,0.003893858446572117,-13.96670204420248,-24.430200962719645
25.0,22.231410515738894,-15.404410290820005,0.74225,9.898828122899737,4.930904708335,0.7044149583335715,1.0845177755068973,0.40243593627407465,0.00360625834417666,-29.520666199359372,-24.81204427248362
50.0,13.781615793605132,-35.84488152420013,0.60375,5.88926151178779,2.8258831884118676,0.4036975983445525,0.6215331122011541,0.7489345097675899,0.04222254329661406,-30.0,-25.074466295050936
75.0,8.327700710507536,-23.491350597370957,0.40675,3.2255419939546646,1.11937241207467,0.15991034458209571,0.24619808130847673,0.9388486177525597,0.18332645118390153,-30.0,-25.19105677967008
100.0,6.911843114776179,-5.305806597764319,0.32275,2.8168579205701607,0.8190637213310423,0.11700910304729176,0.18014729904530816,0.9703018407102839,0.3051709461536991,-30.0,-25.228700323944512
125.0,5.405775625031273,-5.32101550876216,0.23775,2.4516581434771307,0.5830178220229215,0.0832882602889888,0.12823066532848879,0.9854453223333871,0.4022152861196139,-30.0,-25.228787452803367
150.0,4.739526949116446,-5.679166342530021,0.19425,2.228296544294778,0.4546809967036961,0.06495442810052801,0.10000388413039477,0.9929789089271719,0.4782247925970856,-30.0,-25.228787452803367
175.0,3.971383675340792,-5.958544031931852,0.1595,2.062223420292943,0.369990144140749,0.05285573487724986,0.08137672735892186,0.9966823143033187,0.5383450403133974,-30.0,-25.228787452803367
200.0,3.4070810015449853,-6.43246464333528,0.122,1.8995280459515893,0.27461494692886196,0.03923070670412314,0.06039962420299933,0.9984663039017969,0.5870468685045716,-30.0,-25.228787452803367
225.0,2.7508656922752737,-6.827229083844754,0.10675,1.8013399408845714,0.2373894185849515,0.0339127740835645,0.052212131322967814,0.9993061854648616,0.6268858354278041,-30.0,-25.228787452803367
250.0,2.225287958161727,-7.081166869606415,0.07525,1.644260678506806,0.16288161261021292,0.023268801801458988,0.03582466395677972,0.9996926471938936,0.6603455876127248,-30.0,-25.228787452803367
275.0,1.7270997714319218,-7.371906604509025,0.0575,1.5283174654641836,0.12235836921514137,0.01747976703073448,0.026911861868177327,0.9998667193514029,0.6885966806808287,-30.0,-25.228787452803367
300.0,1.118639487914323,-7.72332546088217,0.0455,1.4288177803063005,0.09808470840352686,0.014012101200503837,0.021573041066728447,0.999943538523828,0.7130000039990523,-30.0,-25.228787452803367
