pathloss_exponent,reuse_factor,analytic_sir_db,baseline_hex_edge_sir_db
3.5,1,0.5681094537576561,-3.50861718673589
3.5,3,8.917731411351749,7.326802237587636
3.5,4,11.104159301996999,9.981409735416447
3.5,7,15.357325154007151,14.710997929299284
3.5,12,19.45378125959109,19.07972316240159
3.8,1,1.283791335837149,-3.4107260177627783
3.8,3,10.349095175510733,8.482416831448292
3.8,4,12.722931171068435,11.407665914180534
3.8,7,17.34065409610803,16.58080047653344
3.8,12,21.78823501074202,21.347966272355357
4.0,1,1.7609125905568124,-3.356216232234956
4.0,3,11.303337684950062,9.242454441661327
4.0,4,13.80211241711606,12.351455806216707
4.0,7,18.66287339084195,17.822638224776497
4.0,12,23.34453751150931,22.857268912260757
